STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/1/2018,0.66,54,61,48,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/2/2018,0.31,58,70,46,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/3/2018,0.31,63,72,54,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/4/2018,0,66,72,60,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/5/2018,0.16,51,59,43,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/6/2018,0.87,59,72,45,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/7/2018,0.13,61,63,59,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/8/2018,0.04,68,81,54,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/9/2018,0,60,82,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/10/2018,0,70,75,64,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/11/2018,0,76,81,70,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/12/2018,0.12,48,53,44,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/13/2018,0,46,53,40,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/14/2018,0,49,61,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/15/2018,0.08,54,63,46,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/16/2018,0,47,57,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/17/2018,0,45,51,39,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/18/2018,0,43,54,32,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/19/2018,0,51,57,45,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/20/2018,0,52,59,45,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/21/2018,0.55,48,59,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/22/2018,0.04,44,52,36,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/23/2018,0,45,54,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/24/2018,0,41,44,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/25/2018,0,41,45,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/26/2018,0.39,42,49,36,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/27/2018,0.35,41,44,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/28/2018,0.43,40,43,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/29/2018,0,43,48,37,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/30/2018,0.24,42,54,30,,,,,,,
CA006132470,"FORT ERIE, ON CA",42.8833,-78.9667,180,10/31/2018,0.39,49,57,40,,,,,,,
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/1/2018,0.22,,54,50,60,70,",,W",19.9,",,W",25.1,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/2/2018,0.58,,70,51,320,320,",,W",16.1,",,W",19.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/3/2018,0,,68,53,200,200,",,W",16.1,",,W",19.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/4/2018,0.3,,73,46,310,240,",,W",25.1,",,W",36,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/5/2018,0,,57,44,70,70,",,W",19.9,",,W",23.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/6/2018,0.61,,71,51,200,220,",,W",18.1,",,W",21.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/7/2018,0.02,,65,53,70,80,",,W",16.1,",,W",19.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/8/2018,0,,76,52,80,80,",,W",16.1,",,W",21,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/9/2018,0.01,,82,62,230,220,",,W",23,",,W",29.1,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/10/2018,0,,81,65,230,210,",,W",19.9,",,W",28,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/11/2018,0,,73,50,240,230,",,W",28,",,W",35.1,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/12/2018,0.01,,51,41,270,290,",,W",23,",,W",29.1,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/13/2018,0.11,,52,35,260,260,",,W",19.9,",,W",23,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/14/2018,0.03,,58,36,230,230,",,W",14.1,",,W",18.1,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/15/2018,0.08,,58,39,280,280,",,W",32,",,W",38.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/16/2018,0,,53,35,230,220,",,W",30,",,W",38.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/17/2018,0.04,,52,37,300,310,",,W",29.1,",,W",36,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/18/2018,0,,46,31,320,320,",,W",21,",,W",25.9,",,W"
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,178.3,10/19/2018,0,,58,43,230,230,",,W",36.9,",,W",46.1,",,W"
